Month,Economic activity
Jan-10,25.9
Feb-10,25.8
Mar-10,25.9
Apr-10,25.6
May-10,25.2
Jun-10,25.1
Jul-10,25.0
Aug-10,25.1
Sep-10,24.7
Oct-10,25.0
Nov-10,25.2
Dec-10,25.0
Jan-11,24.7
Feb-11,24.8
Mar-11,24.8
Apr-11,24.9
May-11,24.9
Jun-11,24.9
Jul-11,25.1
Aug-11,25.2
Sep-11,25.4
Oct-11,25.1
Nov-11,25.1
Dec-11,25.4
Jan-12,25.4
Feb-12,25.4
Mar-12,25.6
Apr-12,25.4
May-12,25.4
Jun-12,24.8
Jul-12,24.4
Aug-12,24.0
Sep-12,24.1
Oct-12,24.5
Nov-12,24.3
Dec-12,23.5
Jan-13,23.7
Feb-13,23.6
Mar-13,23.5
Apr-13,23.8
May-13,24.0
Jun-13,23.8
Jul-13,23.6
Aug-13,23.2
Sep-13,23.2
Oct-13,23.0
Nov-13,22.8
Dec-13,22.9
Jan-14,22.8
Feb-14,22.9
Mar-14,22.8
Apr-14,22.5
May-14,22.4
Jun-14,22.4
Jul-14,22.7
Aug-14,22.7
Sep-14,22.8
Oct-14,23.2
Nov-14,23.4
Dec-14,23.1
Jan-15,22.9
Feb-15,22.9
Mar-15,23.1
Apr-15,23.2
May-15,23.0
Jun-15,22.6
Jul-15,22.7
Aug-15,22.8
Sep-15,22.6
Oct-15,22.0
Nov-15,22.3
Dec-15,22.2
Jan-16,22.4
Feb-16,22.1
Mar-16,22.1
Apr-16,22.0
May-16,22.0
Jun-16,21.8
Jul-16,21.8
Aug-16,21.8
Sep-16,22.0
Oct-16,22.0
Nov-16,21.8
Dec-16,21.9
Jan-17,22.0
Feb-17,21.9
Mar-17,21.9
Apr-17,22.0
May-17,21.5
Jun-17,21.2
Jul-17,21.0
Aug-17,21.1
Sep-17,21.7
Oct-17,21.6
Nov-17,21.5
Dec-17,21.6
Jan-18,21.3
Feb-18,21.0
Mar-18,20.8
Apr-18,21.1
May-18,21.2
Jun-18,21.5
Jul-18,21.6
Aug-18,21.4
Sep-18,21.0
Oct-18,20.7
Nov-18,21.4
Dec-18,21.6
Jan-19,21.3
Feb-19,21.6
Mar-19,21.6
Apr-19,21.8
May-19,21.6
Jun-19,21.7
Jul-19,22.1
Aug-19,22.2
Sep-19,21.8
Oct-19,21.7
Nov-19,21.0
Dec-19,21.1
Jan-20,20.4
Feb-20,19.7
Mar-20,19.4
Apr-20,19.9
May-20,20.2
Jun-20,19.7
Jul-20,18.9
Aug-20,19.8
Sep-20,20.2
Oct-20,19.8
Nov-20,19.3
Dec-20,19.6
Jan-21,19.6
Feb-21,19.6
Mar-21,19.7
Apr-21,20.0
May-21,20.2
Jun-21,20.2
Jul-21,20.3
Aug-21,20.5
Sep-21,20.4
Oct-21,20.3
Nov-21,20.2
Dec-21,19.8
,
,
,
,
,
,
,
,
,