Month,Bus,London Underground,,,,
Jan-10,10.6,13.6,,,,
Feb-10,12.0,13.1,,,,
Mar-10,12.0,12.5,,,,
Apr-10,10.7,12.0,,,,
May-10,10.0,11.9,,,,
Jun-10,10.6,10.7,,,,
Jul-10,10.9,11.5,,,,
Aug-10,10.6,11.3,,,,
Sep-10,9.7,10.8,,,,
Oct-10,10.5,12.4,,,,
Nov-10,10.5,12.3,,,,
Dec-10,10.3,10.3,,,,
Jan-11,10.7,11.8,,,,
Feb-11,11.1,12.1,,,,
Mar-11,10.2,11.7,,,,
Apr-11,9.7,10.0,,,,
May-11,10.0,11.8,,,,
Jun-11,9.8,11.3,,,,
Jul-11,9.6,10.8,,,,
Aug-11,8.7,10.3,,,,
Sep-11,8.0,8.8,,,,
Oct-11,9.1,9.4,,,,
Nov-11,9.6,9.0,,,,
Dec-11,9.1,9.1,,,,
Jan-12,9.1,9.3,,,,
Feb-12,8.9,9.9,,,,
Mar-12,9.4,9.4,,,,
Apr-12,8.9,9.1,,,,
May-12,8.5,9.9,,,,
Jun-12,8.8,10.1,,,,
Jul-12,9.1,10.4,,,,
Aug-12,8.7,7.9,,,,
Sep-12,7.3,8.1,,,,
Oct-12,8.6,9.8,,,,
Nov-12,9.0,11.4,,,,
Dec-12,9.5,10.0,,,,
Jan-13,8.3,10.5,,,,
Feb-13,8.7,9.8,,,,
Mar-13,8.2,11.0,,,,
Apr-13,8.2,9.2,,,,
May-13,7.8,8.3,,,,
Jun-13,7.8,8.6,,,,
Jul-13,7.9,8.6,,,,
Aug-13,8.6,9.1,,,,
Sep-13,7.6,7.8,,,,
Oct-13,7.9,7.5,,,,
Nov-13,7.3,7.1,,,,
Dec-13,7.1,7.7,,,,
Jan-14,6.9,8.6,,,,
Feb-14,7.2,8.3,,,,
Mar-14,6.8,7.7,,,,
Apr-14,6.8,7.0,,,,
May-14,6.6,6.5,,,,
Jun-14,6.9,7.3,,,,
Jul-14,6.8,7.0,,,,
Aug-14,6.6,6.9,,,,
Sep-14,7.4,6.8,,,,
Oct-14,7.4,7.0,,,,
Nov-14,7.4,6.8,,,,
Dec-14,8.0,7.7,,,,
Jan-15,7.9,6.9,,,,
Feb-15,7.6,6.3,,,,
Mar-15,7.7,7.1,,,,
Apr-15,7.2,6.9,,,,
May-15,7.1,7.0,,,,
Jun-15,7.3,6.8,,,,
Jul-15,7.6,6.8,,,,
Aug-15,7.9,7.6,,,,
Sep-15,6.9,6.6,,,,
Oct-15,7.6,6.8,,,,
Nov-15,8.3,8.2,,,,
Dec-15,8.3,8.2,,,,
Jan-16,7.5,9.2,,,,
Feb-16,7.7,7.4,,,,
Mar-16,7.2,9.0,,,,
Apr-16,7.1,6.4,,,,
May-16,7.7,7.3,,,,
Jun-16,8.1,7.1,,,,
Jul-16,7.9,7.1,,,,
Aug-16,8.3,8.7,,,,
Sep-16,7.3,6.9,,,,
Oct-16,7.6,7.3,,,,
Nov-16,7.3,9.7,,,,
Dec-16,7.8,8.5,,,,
Jan-17,6.6,8.4,,,,
Feb-17,7.3,8.0,,,,
Mar-17,7.7,8.5,,,,
Apr-17,6.6,9.5,,,,
May-17,7.0,7.9,,,,
Jun-17,7.2,9.0,,,,
Jul-17,8.1,9.4,,,,
Aug-17,7.1,9.1,,,,
Sep-17,6.5,9.0,,,,
Oct-17,7.1,10.0,,,,
Nov-17,7.8,10.3,,,,
Dec-17,7.1,11.9,,,,
Jan-18,6.5,10.7,,,,
Feb-18,7.2,11.1,,,,
Mar-18,6.9,11.2,,,,
Apr-18,6.1,10.1,,,,
May-18,6.3,9.9,,,,
Jun-18,6.1,10.2,,,,
Jul-18,6.8,10.3,,,,
Aug-18,6.2,10.3,,,,
Sep-18,6.2,10.0,,,,
Oct-18,7.0,10.3,,,,
Nov-18,7.6,10.9,,,,
Dec-18,7.3,16,,,,
Jan-19,7.2,13.4,,,,
Feb-19,8,13.5,,,,
Mar-19,8.1,15.6,,,,
Apr-19,8,15,,,,
May-19,7.4,12.4,,,,
Jun-19,8.3,15,,,,
Jul-19,7.8,12.2,,,,
Aug-19,7,13.1,,,,
Sep-19,7.1,12,,,,
Oct-19,8.9,13.8,,,,
Nov-19,8,15.9,,,,
Dec-19,7.6,23.5,,,,
Jan-20,7.9,17.6,,,,
Feb-20,8.3,16.8,,,,
Mar-20,9.5,21.3,,,,
Apr-20,16,63.4,,,,
May-20,16.9,44.5,,,,
Jun-20,15.1,26.5,,,,
Jul-20,13.8,21.6,,,,
Aug-20,12.1,18.8,,,,
Sep-20,11.8,17.6,,,,
Oct-20,11.6,18.6,,,,
Nov-20,12.1,24.1,,,,
Dec-20,9.8,21.8,,,,
Jan-21,9.2,31.1,,,,
Feb-21,9.7,26.5,,,,
Mar-21,11,23,,,,
Apr-21,10,18,,,,
May-21,8.7,15.4,,,,
Jun-21,9.1,14.3,,,,
Jul-21,10.4,14.4,,,,
Aug-21,9.4,13.4,,,,
Sep-21,10.7,12.1,,,,
Oct-21,11.3,12.3,,,,
Nov-21,11.3,13.6,,,,
Dec-21,11,16.6,,,,